Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
68,tt1704619,2013-09-06,2013-09-06,,Tabloid,http://www.imdb.com/title/tt1704619/,movie,7.1,87,2010,"Documentary, Crime",5726,2010-09-03,Errol Morris
69,tt1966604,2013-09-07,2013-09-07,,The Imposter,http://www.imdb.com/title/tt1966604/,movie,7.5,99,2012,"Documentary, Biography",39135,2012-01-23,Bart Layton
70,tt0063522,2013-09-15,2013-09-15,,Rosemary's Baby,http://www.imdb.com/title/tt0063522/,movie,8.0,137,1968,"Drama, Horror",155427,1968-06-12,Roman Polanski
71,tt0052751,2013-09-15,2013-09-15,,Donald in Mathmagic Land,http://www.imdb.com/title/tt0052751/,short,8.0,27,1959,"Animation, Short, Comedy, Family, Fantasy",1782,1959-06-26,"Wolfgang Reitherman, Les Clark, Joshua Meador, Hamilton Luske"
72,tt1733785,2013-09-16,2013-09-16,,Bron/Broen,http://www.imdb.com/title/tt1733785/,tvSeries,8.6,60,2011,"Crime, Mystery, Thriller",38259,2011-09-21,
73,tt0141842,2013-09-16,2013-09-16,,The Sopranos,http://www.imdb.com/title/tt0141842/,tvSeries,9.2,55,1999,"Crime, Drama",220340,1999-01-10,
74,tt1403214,2013-09-19,2013-09-19,,Paradies: Liebe,http://www.imdb.com/title/tt1403214/,movie,7.1,120,2012,Drama,6828,2012-05-18,Ulrich Seidl
75,tt1464783,2013-09-22,2013-09-22,,The Great Hip Hop Hoax,http://www.imdb.com/title/tt1464783/,movie,7.1,93,2013,"Documentary, Comedy, Music",472,2013-03-14,Jeanie Finlay
76,tt2852376,2013-09-24,2013-09-24,,Heli,http://www.imdb.com/title/tt2852376/,movie,6.8,105,2013,"Crime, Drama, Romance, Thriller",4044,2013-05-16,Amat Escalante
77,tt2737310,2013-09-26,2013-09-26,,Mistaken for Strangers,http://www.imdb.com/title/tt2737310/,movie,7.3,75,2013,"Documentary, Comedy, Music",3859,2013-04-17,Tom Berninger
78,tt0874289,2013-09-27,2013-09-27,,America Undercover: The Iceman Tapes: Conversations with a Killer,http://www.imdb.com/title/tt0874289/,tvEpisode,7.7,47,1992,Documentary,705,1992-04-07,"Arthur Ginsberg, Tom Spain"
79,tt2076871,2013-09-28,2013-09-28,,Kelly + Victor,http://www.imdb.com/title/tt2076871/,movie,5.7,95,2012,Drama,644,2012-10-16,Kieran Evans
80,tt2217458,2013-09-29,2013-09-29,,Flores Raras,http://www.imdb.com/title/tt2217458/,movie,7.0,118,2013,"Biography, Drama, Romance",2268,2013-02-09,Bruno Barreto
81,tt2017634,2013-09-29,2013-09-29,,Kink,http://www.imdb.com/title/tt2017634/,movie,6.3,80,2013,Documentary,1008,2013-01-19,Christina Voros
